Service date,Hour,Route,Direction,Scheduled stop arrivals,Deduped bunching episodes,actual_rate_per_100,predicted_rate_per_100,Risk decile,Validation split,baseline_predicted_rate_per_100,external_predicted_rate_per_100,Temperature,Wind speed,MVI active in prior 2 hours,MVI active in prior 4 hours,Local MVI street-name matches,KCM advisory observed,weather_observed,mvi_observed,kcm_observed
2026-07-22,0,61,1,42,0,0.0,0.03458657976272817,5,Train,0.03458657976272817,0.030054991924695813,,,,,0.0,,0,1,0
2026-07-22,0,223,1,1,0,0.0,7.780232136988844e-06,1,Train,7.780232136988844e-06,6.1258243690220835e-06,,,,,0.0,,0,1,0
2026-07-22,0,222,0,14,0,0.0,0.00022288103451370005,1,Train,0.00022288103451370005,0.00018804804992940353,,,,,0.0,,0,1,0
2026-07-22,0,203,0,26,0,0.0,0.0062344300843862905,2,Train,0.0062344300843862905,0.00541161207419631,,,,,0.0,,0,1,0
2026-07-22,0,570,0,7,0,0.0,0.0008547931002884623,1,Train,0.0008547931002884623,0.0007107905581334324,,,,,0.0,,0,1,0
2026-07-22,0,570,1,13,0,0.0,0.0027533976838525803,1,Train,0.0027533976838525803,0.0023235398368305865,,,,,0.0,,0,1,0
2026-07-22,1,10,0,21,0,0.0,0.0022909530564755223,1,Train,0.0022909530564755223,0.001958531333481329,,,,,0.0,,0,1,0
2026-07-22,1,10,1,9,0,0.0,0.000542508373621422,1,Train,0.000542508373621422,0.0004508826035935331,,,,,0.0,,0,1,0
2026-07-22,1,101,0,16,0,0.0,0.002467300574269339,1,Train,0.002467300574269339,0.002072008243211993,,,,,0.0,,0,1,0
2026-07-22,1,106,0,59,0,0.0,0.005191295356243421,2,Train,0.005191295356243421,0.004391677356419892,,,,,0.0,,0,1,0
2026-07-22,1,107,0,73,0,0.0,0.0025349709789338213,1,Train,0.0025349709789338213,0.002139444525340727,,,,,0.0,,0,1,0
2026-07-22,1,107,1,9,0,0.0,5.732074706253022e-05,1,Train,5.732074706253022e-05,4.524742732068759e-05,,,,,0.0,,0,1,0
2026-07-22,1,11,0,28,0,0.0,0.003105019203932744,1,Train,0.003105019203932744,0.0026578198515831296,,,,,0.0,,0,1,0
2026-07-22,1,11,1,22,0,0.0,0.002160507845394393,1,Train,0.002160507845394393,0.0018300549155171432,,,,,0.0,,0,1,0
2026-07-22,1,12,0,18,0,0.0,0.001301550365754936,1,Train,0.001301550365754936,0.0011003168066656419,,,,,0.0,,0,1,0
2026-07-22,1,124,0,40,0,0.0,0.0020199618471745703,1,Train,0.0020199618471745703,0.001721279002653825,,,,,0.0,,0,1,0
2026-07-22,1,124,1,46,0,0.0,0.002868199428134383,1,Train,0.002868199428134383,0.0024471633016438167,,,,,0.0,,0,1,0
2026-07-22,1,128,0,17,0,0.0,0.0001037483048759382,1,Train,0.0001037483048759382,8.466925609185195e-05,,,,,0.0,,0,1,0
2026-07-22,1,13,0,11,0,0.0,0.0010606305998640297,1,Train,0.0010606305998640297,0.0008852574787346271,,,,,0.0,,0,1,0
2026-07-22,1,13,1,26,0,0.0,0.005557848088093293,2,Train,0.005557848088093293,0.004745598015326485,,,,,0.0,,0,1,0
2026-07-22,1,131,0,30,0,0.0,0.000684416970065976,1,Train,0.000684416970065976,0.0005819568547712345,,,,,0.0,,0,1,0
2026-07-22,1,131,1,35,0,0.0,0.0009965108600195694,1,Train,0.0009965108600195694,0.0008487443092816469,,,,,0.0,,0,1,0
2026-07-22,1,132,0,82,0,0.0,0.002674846531408442,1,Train,0.002674846531408442,0.0023267531954060537,,,,,0.0,,0,1,0
2026-07-22,1,132,1,77,0,0.0,0.002585048407469347,1,Train,0.002585048407469347,0.002237254795852743,,,,,0.0,,0,1,0
2026-07-22,1,14,0,31,0,0.0,0.003550712335210946,1,Train,0.003550712335210946,0.0030362489460500288,,,,,0.0,,0,1,0
2026-07-22,1,14,1,8,0,0.0,0.00033190988442505004,1,Train,0.00033190988442505004,0.0002717319133482377,,,,,0.0,,0,1,0
2026-07-22,1,150,0,47,0,0.0,0.007856404266525912,2,Train,0.007856404266525912,0.006623700561993462,,,,,0.0,,0,1,0
